fish_id,weight,spec,rounds,status,tail_cause,reflow_summary,had_timeout,had_overflow,dwell_time,reflow_reasons
481,360,30p,1,unmatched_tail,批末料道未配盒,无,0,0,19,
482,294,35p,1,unmatched_tail,批末料道未配盒,无,0,0,18,
483,263,40p,1,unmatched_tail,批末料道未配盒,无,0,0,17,
484,336,30p,1,unmatched_tail,批末料道未配盒,无,0,0,16,
486,507,20p,1,unmatched_tail,批末料道未配盒,无,0,0,14,
487,299,35p,1,unmatched_tail,批末料道未配盒,无,0,0,13,
488,430,25p,1,unmatched_tail,批末料道未配盒,无,0,0,12,
489,279,35p,1,unmatched_tail,批末料道未配盒,无,0,0,11,
490,424,25p,1,unmatched_tail,批末料道未配盒,无,0,0,10,
491,498,20p,1,unmatched_tail,批末料道未配盒,无,0,0,9,
492,299,35p,1,unmatched_tail,批末料道未配盒,无,0,0,8,
493,339,30p,1,unmatched_tail,批末料道未配盒,无,0,0,7,
494,388,25p,1,unmatched_tail,批末料道未配盒,无,0,0,6,
495,344,30p,1,unmatched_tail,批末料道未配盒,无,0,0,5,
496,346,30p,1,unmatched_tail,批末料道未配盒,无,0,0,4,
497,607,15p,1,unmatched_tail,批末料道未配盒,无,0,0,3,
498,530,20p,1,unmatched_tail,批末料道未配盒,无,0,0,2,
499,648,15p,1,unmatched_tail,批末料道未配盒,无,0,0,1,
500,322,30p,1,unmatched_tail,批末料道未配盒,无,0,0,0,
