fish_id,weight,spec,rounds,first_in_time,outbound_time,dwell_time,status,reflow_reasons
309,101,100p,1,309,1045,736,packed,
310,104,100p,1,310,1045,735,packed,
311,256,40p,1,311,864,553,packed,
312,564,20p,12,312,666,354,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
313,85,120p,1,313,1343,1030,packed,
314,68,150p,1,314,1435,1121,packed,
315,293,35p,1,315,676,361,packed,
316,230,45p,1,316,1131,815,packed,
317,66,150p,1,317,1435,1118,packed,
318,72,140p,1,318,1056,738,packed,
319,65,150p,1,319,1435,1116,packed,
320,588,15p,2,320,365,45,packed,timeout
321,105,100p,1,321,1045,724,packed,
322,68,150p,1,322,1435,1113,packed,
323,73,140p,1,323,1056,733,packed,
324,216,45p,1,324,604,280,packed,
325,105,100p,1,325,1045,720,packed,
326,217,45p,1,326,604,278,packed,
327,419,25p,2,327,424,97,packed,timeout
328,116,80p,1,328,741,413,packed,
329,105,100p,1,329,1045,716,packed,
330,130,80p,1,330,741,411,packed,
331,66,150p,1,331,1435,1104,packed,
332,110,90p,1,332,702,370,packed,
333,159,60p,1,333,705,372,packed,
334,68,150p,1,334,1435,1101,packed,
335,65,150p,1,335,1435,1100,packed,
336,101,100p,1,336,1045,709,packed,
337,472,20p,4,337,446,109,packed,timeout|timeout|timeout
338,204,50p,1,338,489,151,packed,
339,551,20p,4,339,446,107,packed,timeout|timeout|timeout
340,66,150p,1,340,1435,1095,packed,
341,95,110p,1,341,961,620,packed,
342,390,25p,7,342,614,272,packed,timeout|timeout|timeout|timeout|timeout|timeout
343,535,20p,7,343,539,196,packed,timeout|timeout|timeout|timeout|timeout|timeout
344,108,90p,1,344,702,358,packed,
345,342,30p,3,345,589,244,packed,timeout|timeout
346,142,70p,1,346,620,274,packed,
347,138,70p,1,347,620,273,packed,
348,649,15p,15,348,812,464,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
349,144,70p,1,349,620,271,packed,
350,81,120p,1,350,1343,993,packed,
351,108,90p,1,351,702,351,packed,
352,326,30p,3,352,589,237,packed,timeout|timeout
353,79,130p,1,353,1188,835,packed,
354,105,100p,1,354,1045,691,packed,
355,263,40p,1,355,864,509,packed,
356,616,15p,1,356,365,9,packed,
357,312,30p,6,357,589,232,packed,timeout|timeout|timeout|timeout|timeout
358,110,90p,1,358,702,344,packed,
359,138,70p,1,359,620,261,packed,
360,85,120p,1,360,1343,983,packed,
361,84,120p,1,361,1343,982,packed,
362,82,120p,1,362,1343,981,packed,
363,65,150p,1,363,1435,1072,packed,
364,528,20p,3,364,446,82,packed,timeout|timeout
365,325,30p,3,365,589,224,packed,timeout|timeout
366,68,150p,1,366,1435,1069,packed,
367,110,90p,1,367,702,335,packed,
368,72,140p,1,368,1056,688,packed,
369,101,100p,1,369,1045,676,packed,
370,185,50p,1,370,489,119,packed,
371,335,30p,3,371,589,218,packed,timeout|timeout
372,81,120p,1,372,1343,971,packed,
373,247,40p,1,373,864,491,packed,
374,675,15p,7,374,577,203,packed,timeout|timeout|timeout|timeout|timeout|timeout
375,210,50p,1,375,489,114,packed,
376,318,30p,3,376,589,213,packed,timeout|timeout
377,94,110p,1,377,961,584,packed,
378,222,45p,1,378,1131,753,packed,
379,140,70p,1,379,620,241,packed,
380,79,130p,1,380,1188,808,packed,
381,94,110p,1,381,961,580,packed,
382,410,25p,1,382,424,42,packed,
383,215,45p,1,383,604,221,packed,
384,207,50p,1,384,489,105,packed,
385,307,30p,13,385,821,436,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
386,432,25p,1,386,424,38,packed,
387,65,150p,1,387,1435,1048,packed,
388,122,80p,1,388,741,353,packed,
389,112,90p,1,389,702,313,packed,
390,93,110p,1,390,961,571,packed,
391,140,70p,1,391,620,229,packed,
392,91,110p,1,392,961,569,packed,
393,83,120p,1,393,1343,950,packed,
394,117,80p,1,394,741,347,packed,
395,589,15p,5,395,519,124,packed,timeout|timeout|timeout|timeout
396,434,25p,1,396,424,28,packed,
397,258,40p,1,397,864,467,packed,
398,96,100p,1,398,1045,647,packed,
399,438,25p,7,399,614,215,packed,timeout|timeout|timeout|timeout|timeout|timeout
400,101,100p,1,400,1045,645,packed,
401,222,45p,1,401,1131,730,packed,
402,71,140p,1,402,1056,654,packed,
403,144,70p,1,403,620,217,packed,
404,293,35p,1,404,676,272,packed,
405,73,140p,1,405,1056,651,packed,
406,116,80p,1,406,741,335,packed,
407,86,120p,1,407,1343,936,packed,
408,75,130p,1,408,1188,780,packed,
409,145,70p,1,409,620,211,packed,
410,87,110p,1,410,961,551,packed,
411,99,100p,1,411,1045,634,packed,
412,72,140p,1,412,1056,644,packed,
413,87,110p,1,413,961,548,packed,
414,107,90p,1,414,702,288,packed,
415,141,70p,1,415,620,205,packed,
416,104,100p,1,416,1045,629,packed,
417,365,30p,3,417,589,172,packed,timeout|timeout
418,91,110p,1,418,961,543,packed,
419,65,150p,1,419,1435,1016,packed,
420,256,40p,1,420,864,444,packed,
421,78,130p,1,421,1188,767,packed,
422,124,80p,1,422,741,319,packed,
423,217,45p,1,423,604,181,packed,
424,66,150p,1,424,1435,1011,packed,
